name,pokedex_number,abilities,attack,capture_rate,classfication,defense,height_m,hp,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Hippowdon,450,"['Sand Stream', 'Sand Force']",112,60,Heavyweight Pokémon,118,2,108,68,72,47,ground,,300,4,0
Tangrowth,465,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",100,30,Vine Pokémon,125,2,100,110,50,50,grass,,128.6,4,0
Gliscor,472,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']",95,30,Fang Scorp Pokémon,125,2,75,45,75,95,ground,flying,42.5,4,0
Garchomp,445,"['Sand Veil', 'Rough Skin']",170,45,Mach Pokémon,115,1.9,108,120,95,92,dragon,ground,95,4,0
Yanmega,469,"['Speed Boost', 'Tinted Lens', 'Frisk']",76,30,Ogre Darner Pokémon,86,1.9,86,116,56,95,bug,flying,51.5,4,0
Electivire,466,"['Motor Drive', 'Vital Spirit']",123,30,Thunderbolt Pokémon,67,1.8,75,95,85,95,electric,,138.6,4,0
Empoleon,395,"['Torrent', 'Defiant']",86,45,Emperor Pokémon,88,1.7,84,111,101,60,water,steel,84.5,4,0
Lickilicky,463,"['Own Tempo', 'Oblivious', 'Cloud Nine']",85,30,Licking Pokémon,95,1.7,110,80,95,50,normal,,140,4,0
Heatran,485,"['Flash Fire', 'Flame Body']",90,3,Lava Dome Pokémon,106,1.7,91,130,106,77,fire,steel,430,4,1
Rampardos,409,"['Mold Breaker', 'Sheer Force']",165,45,Head Butt Pokémon,60,1.6,97,65,50,58,rock,,102.5,4,0
Magmortar,467,"['Flame Body', 'Vital Spirit']",95,30,Blast Pokémon,67,1.6,75,125,95,83,fire,,68,4,0
Gallade,475,"['Steadfast', 'Justified']",165,45,Blade Pokémon,95,1.6,68,65,115,110,psychic,fighting,52,4,0
Togekiss,468,"['Hustle', 'Serene Grace', 'Super Luck']",50,30,Jubilee Pokémon,95,1.5,85,120,115,80,fairy,flying,38,4,0
Cresselia,488,['Levitate'],70,3,Lunar Pokémon,120,1.5,120,75,130,85,psychic,,85.6,4,1
Darkrai,491,['Bad Dreams'],90,3,Pitch-Black Pokémon,90,1.5,70,135,90,125,dark,,50.5,4,1
Luxray,405,"['Rivalry', 'Intimidate', 'Guts']",120,45,Gleam Eyes Pokémon,79,1.4,80,95,79,70,electric,,42,4,0
Gabite,444,"['Sand Veil', 'Rough Skin']",90,45,Cave Pokémon,65,1.4,68,50,55,82,dragon,ground,56,4,0
Carnivine,455,['Levitate'],100,200,Bug Catcher Pokémon,72,1.4,74,90,72,46,grass,,27,4,0
Probopass,476,"['Sturdy', 'Magnet Pull', 'Sand Force']",55,60,Compass Pokémon,145,1.4,60,75,150,40,rock,steel,340,4,0
Bastiodon,411,"['Sturdy', 'Soundproof']",52,45,Shield Pokémon,168,1.3,60,47,138,30,rock,steel,149.5,4,0
Bronzong,437,"['Levitate', 'Heatproof', 'Heavy Metal']",89,90,Bronze Bell Pokémon,116,1.3,67,79,116,33,steel,psychic,187,4,0
Drapion,452,"['Battle Armor', 'Sniper', 'Keen Eye']",90,45,Ogre Scorp Pokémon,110,1.3,70,60,75,95,poison,dark,61.5,4,0
Toxicroak,454,"['Anticipation', 'Dry Skin', 'Poison Touch']",106,75,Toxic Mouth Pokémon,65,1.3,83,86,65,85,poison,fighting,44.4,4,0
Froslass,478,"['Snow Cloak', 'Cursed Body']",80,75,Snow Land Pokémon,70,1.3,70,80,70,110,ice,ghost,26.6,4,0
Infernape,392,"['Blaze', 'Iron Fist']",104,45,Flame Pokémon,71,1.2,76,104,71,108,fire,fighting,55,4,0
Staraptor,398,"['Intimidate', 'Reckless']",120,45,Predator Pokémon,70,1.2,85,50,60,100,normal,flying,24.9,4,0
Vespiquen,416,"['Pressure', 'Unnerve']",80,45,Beehive Pokémon,102,1.2,70,80,102,40,bug,flying,38.5,4,0
Ambipom,424,"['Technician', 'Pickup', 'Skill Link']",100,45,Long Tail Pokémon,66,1.2,75,60,66,115,normal,,20.3,4,0
Drifblim,426,"['Aftermath', 'Unburden', 'Flare Boost']",80,60,Blimp Pokémon,44,1.2,150,90,54,80,ghost,flying,15,4,0
Lopunny,428,"['Cute Charm', 'Klutz', 'Limber']",136,60,Rabbit Pokémon,94,1.2,65,54,96,135,normal,,33.3,4,0
Lucario,448,"['Steadfast', 'Inner Focus', 'Justified']",145,45,Aura Pokémon,88,1.2,70,140,70,112,fighting,steel,54,4,0
Lumineon,457,"['Swift Swim', 'Storm Drain', 'Water Veil']",69,75,Neon Pokémon,76,1.2,69,69,86,91,water,,24,4,0
Magnezone,462,"['Magnet Pull', 'Sturdy', 'Analytic']",70,30,Magnet Area Pokémon,115,1.2,70,130,90,60,electric,steel,180,4,0
Grotle,388,"['Overgrow', 'Shell Armor']",89,45,Grove Pokémon,85,1.1,75,55,65,36,grass,,97,4,0
Floatzel,419,"['Swift Swim', 'Water Veil']",105,75,Sea Weasel Pokémon,55,1.1,85,85,50,115,water,,33.5,4,0
Weavile,461,"['Pressure', 'Pickpocket']",120,45,Sharp Claw Pokémon,65,1.1,70,45,85,125,dark,ice,34,4,0
Bibarel,400,"['Simple', 'Unaware', 'Moody']",85,127,Beaver Pokémon,60,1,79,55,60,71,normal,water,31.5,4,0
Kricketune,402,"['Swarm', 'Technician']",85,45,Cricket Pokémon,51,1,77,55,51,65,bug,,25.5,4,0
Purugly,432,"['Thick Fat', 'Own Tempo', 'Defiant']",82,75,Tiger Cat Pokémon,64,1,71,64,59,112,normal,,43.8,4,0
Skuntank,435,"['Stench', 'Aftermath', 'Keen Eye']",93,60,Skunk Pokémon,67,1,103,71,61,84,poison,dark,38,4,0
Spiritomb,442,"['Pressure', 'Infiltrator']",92,100,Forbidden Pokémon,108,1,50,92,108,35,ghost,dark,108,4,0
Mantyke,458,"['Swift Swim', 'Water Absorb', 'Water Veil']",20,25,Kite Pokémon,50,1,45,60,120,50,water,flying,65,4,0
Snover,459,"['Snow Warning', 'Soundproof']",62,120,Frosted Tree Pokémon,50,1,60,62,60,40,grass,ice,50.5,4,0
Leafeon,470,"['Leaf Guard', 'Chlorophyll']",110,45,Verdant Pokémon,130,1,65,60,65,95,grass,,25.5,4,0
Monferno,391,"['Blaze', 'Iron Fist']",78,45,Playful Pokémon,52,0.9,64,78,52,81,fire,fighting,22,4,0
Luxio,404,"['Rivalry', 'Intimidate', 'Guts']",85,120,Spark Pokémon,49,0.9,60,60,49,60,electric,,30.5,4,0
Roserade,407,"['Natural Cure', 'Poison Point', 'Technician']",70,75,Bouquet Pokémon,65,0.9,60,125,105,90,grass,poison,14.5,4,0
Cranidos,408,"['Mold Breaker', 'Sheer Force']",125,45,Head Butt Pokémon,40,0.9,67,30,30,58,rock,,31.5,4,0
Mothim,414,"['Swarm', 'Tinted Lens']",94,45,Moth Pokémon,50,0.9,70,94,50,66,bug,flying,23.3,4,0
Gastrodon,423,"['Sticky Hold', 'Storm Drain', 'Sand Force']",83,75,Sea Slug Pokémon,68,0.9,111,92,82,39,water,ground,29.9,4,0
Mismagius,429,['Levitate'],60,45,Magical Pokémon,60,0.9,60,105,105,105,ghost,,4.4,4,0
Honchkrow,430,"['Insomnia', 'Super Luck', 'Moxie']",125,30,Big Boss Pokémon,52,0.9,100,105,52,71,dark,flying,27.3,4,0
Porygon-Z,474,"['Adaptability', 'Download', 'Analytic']",80,30,Virtual Pokémon,70,0.9,85,135,75,90,normal,,34,4,0
Prinplup,394,"['Torrent', 'Defiant']",66,45,Penguin Pokémon,68,0.8,64,81,76,50,water,,23,4,0
Hippopotas,449,"['Sand Stream', 'Sand Force']",72,140,Hippo Pokémon,78,0.8,68,38,42,32,ground,,49.5,4,0
Skorupi,451,"['Battle Armor', 'Sniper', 'Keen Eye']",50,120,Scorpion Pokémon,90,0.8,40,30,55,65,poison,bug,12,4,0
Glaceon,471,"['Snow Cloak', 'Ice Body']",60,45,Fresh Snow Pokémon,110,0.8,65,130,95,65,ice,,25.9,4,0
Buizel,418,"['Swift Swim', 'Water Veil']",65,190,Sea Weasel Pokémon,35,0.7,55,60,30,85,water,,29.5,4,0
Gible,443,"['Sand Veil', 'Rough Skin']",70,45,Land Shark Pokémon,45,0.7,58,40,45,42,dragon,ground,20.5,4,0
Riolu,447,"['Steadfast', 'Inner Focus', 'Prankster']",70,75,Emanation Pokémon,40,0.7,40,35,40,60,fighting,,20.2,4,0
Croagunk,453,"['Anticipation', 'Dry Skin', 'Poison Touch']",61,140,Toxic Mouth Pokémon,40,0.7,48,61,40,50,poison,fighting,23,4,0
Staravia,397,"['Intimidate', 'Reckless']",75,120,Starling Pokémon,50,0.6,55,40,40,80,normal,flying,15.5,4,0
Mime Jr.,439,"['Soundproof', 'Filter', 'Technician']",25,145,Mime Pokémon,45,0.6,20,70,90,60,psychic,fairy,13,4,0
Happiny,440,"['Natural Cure', 'Serene Grace', 'Friend Guard']",5,130,Playhouse Pokémon,5,0.6,100,15,65,30,normal,,24.4,4,0
Munchlax,446,"['Pickup', 'Thick Fat', 'Gluttony']",85,50,Big Eater Pokémon,40,0.6,135,40,85,5,normal,,105,4,0
Chimchar,390,"['Blaze', 'Iron Fist']",58,45,Chimp Pokémon,44,0.5,44,58,44,61,fire,,6.2,4,0
Bidoof,399,"['Simple', 'Unaware', 'Moody']",45,255,Plump Mouse Pokémon,40,0.5,59,35,40,31,normal,,20,4,0
Shinx,403,"['Rivalry', 'Intimidate', 'Guts']",65,235,Flash Pokémon,34,0.5,45,40,34,45,electric,,9.5,4,0
Shieldon,410,"['Sturdy', 'Soundproof']",42,45,Shield Pokémon,118,0.5,30,42,88,30,rock,steel,57,4,0
Wormadam,413,"['Anticipation', 'Overcoat']",69,45,Bagworm Pokémon,95,0.5,60,69,95,36,bug,grass,6.5,4,0
Cherrim,421,['Flower Gift'],60,75,Blossom Pokémon,70,0.5,70,87,78,85,grass,,9.3,4,0
Glameow,431,"['Limber', 'Own Tempo', 'Keen Eye']",55,190,Catty Pokémon,42,0.5,49,42,37,85,normal,,3.9,4,0
Bronzor,436,"['Levitate', 'Heatproof', 'Heavy Metal']",24,255,Bronze Pokémon,86,0.5,57,24,86,23,steel,psychic,60.5,4,0
Bonsly,438,"['Sturdy', 'Rock Head', 'Rattled']",80,255,Bonsai Pokémon,95,0.5,50,10,45,10,rock,,15,4,0
Chatot,441,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",65,30,Music Note Pokémon,45,0.5,76,92,42,91,normal,flying,1.9,4,0
Turtwig,387,"['Overgrow', 'Shell Armor']",68,45,Tiny Leaf Pokémon,64,0.4,55,45,55,31,grass,,10.2,4,0
Piplup,393,"['Torrent', 'Defiant']",51,45,Penguin Pokémon,53,0.4,53,61,56,40,water,,5.2,4,0
Pachirisu,417,"['Run Away', 'Pickup', 'Volt Absorb']",45,200,EleSquirrel Pokémon,70,0.4,60,45,90,95,electric,,3.9,4,0
Cherubi,420,['Chlorophyll'],35,190,Cherry Pokémon,45,0.4,45,62,53,35,grass,,3.3,4,0
Drifloon,425,"['Aftermath', 'Unburden', 'Flare Boost']",50,125,Balloon Pokémon,34,0.4,90,60,44,70,ghost,flying,1.2,4,0
Buneary,427,"['Run Away', 'Klutz', 'Limber']",66,190,Rabbit Pokémon,44,0.4,55,44,56,85,normal,,5.5,4,0
Stunky,434,"['Stench', 'Aftermath', 'Keen Eye']",63,225,Skunk Pokémon,47,0.4,63,41,41,74,poison,dark,19.2,4,0
Finneon,456,"['Swift Swim', 'Storm Drain', 'Water Veil']",49,190,Wing Fish Pokémon,56,0.4,49,49,61,66,water,,7,4,0
Phione,489,['Hydration'],80,30,Sea Drifter Pokémon,80,0.4,80,80,80,80,water,,3.1,4,0
Starly,396,"['Keen Eye', 'Reckless']",55,255,Starling Pokémon,30,0.3,40,30,30,60,normal,flying,2,4,0
Kricketot,401,"['Shed Skin', 'Run Away']",25,255,Cricket Pokémon,41,0.3,37,25,41,25,bug,,2.2,4,0
Combee,415,"['Honey Gather', 'Hustle']",30,120,Tiny Bee Pokémon,42,0.3,30,30,42,70,bug,flying,5.5,4,0
Shellos,422,"['Sticky Hold', 'Storm Drain', 'Sand Force']",48,190,Sea Slug Pokémon,48,0.3,76,57,62,34,water,,6.3,4,0
Rotom,479,['Levitate'],65,45,Plasma Pokémon,107,0.3,50,105,107,86,electric,ghost,0.3,4,0
Uxie,480,['Levitate'],75,3,Knowledge Pokémon,130,0.3,75,75,130,95,psychic,,0.3,4,1
Mesprit,481,['Levitate'],105,3,Emotion Pokémon,105,0.3,80,105,105,80,psychic,,0.3,4,1
Azelf,482,['Levitate'],125,3,Willpower Pokémon,70,0.3,75,125,70,115,psychic,,0.3,4,1
Manaphy,490,['Hydration'],100,3,Seafaring Pokémon,100,0.3,100,100,100,100,water,,1.4,4,1
Budew,406,"['Natural Cure', 'Poison Point', 'Leaf Guard']",30,255,Bud Pokémon,35,0.2,40,50,70,55,grass,poison,1.2,4,0
Burmy,412,"['Shed Skin', 'Overcoat']",29,120,Bagworm Pokémon,45,0.2,40,29,45,36,bug,,3.4,4,0
Chingling,433,['Levitate'],30,120,Bell Pokémon,50,0.2,45,65,50,45,psychic,,0.6,4,0
Shaymin,492,"['Natural Cure', 'Serene Grace']",103,45,Gratitude Pokémon,75,0.2,100,120,75,127,grass,grass,2.1,4,1
Serperior,497,"['Overgrow', 'Contrary']",75,45,Regal Pokémon,95,3.3,75,75,95,113,grass,,63,5,0
Reshiram,643,['Turboblaze'],120,3,Vast White Pokémon,100,3.2,100,150,120,90,dragon,fire,330,5,1
Kyurem,646,"['Pressure', 'Teravolt', 'Turboblaze']",120,3,Boundary Pokémon,90,3,125,170,100,95,dragon,ice,325,5,1
Zekrom,644,['Teravolt'],150,3,Deep Black Pokémon,120,2.9,100,120,100,90,dragon,electric,345,5,1
Golurk,623,"['Iron Fist', 'Klutz', 'No Guard']",124,90,Automaton Pokémon,80,2.8,89,55,80,55,ground,ghost,330,5,0
Beartic,614,"['Snow Cloak', 'Slush Rush', 'Swift Swim']",130,60,Freezing Pokémon,80,2.6,95,70,80,50,ice,,260,5,0
Scolipede,545,"['Poison Point', 'Swarm', 'Speed Boost']",100,45,Megapede Pokémon,89,2.5,60,55,69,112,bug,poison,200.5,5,0
Jellicent,593,"['Water Absorb', 'Cursed Body', 'Damp']",60,60,Floating Pokémon,70,2.2,100,85,105,60,water,ghost,135,5,0
Eelektross,604,['Levitate'],115,30,EleFish Pokémon,80,2.1,85,105,80,50,electric,,80.5,5,0
Cobalion,638,['Justified'],90,3,Iron Will Pokémon,129,2.1,91,90,72,108,steel,fighting,250,5,1
Virizion,640,['Justified'],90,3,Grassland Pokémon,72,2,91,90,129,108,grass,fighting,200,5,1
Garbodor,569,"['Stench', 'Weak Armor', 'Aftermath']",95,60,Trash Heap Pokémon,82,1.9,80,60,82,75,poison,,107.3,5,0
Sawsbuck,586,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",100,75,Season Pokémon,70,1.9,80,60,70,95,normal,grass,92.5,5,0
Terrakion,639,['Justified'],129,3,Cavern Pokémon,90,1.9,91,72,90,108,rock,fighting,260,5,1
Haxorus,612,"['Rivalry', 'Mold Breaker', 'Unnerve']",147,45,Axe Jaw Pokémon,90,1.8,76,60,70,97,dragon,,105.5,5,0
Hydreigon,635,['Levitate'],105,45,Brutal Pokémon,90,1.8,92,125,90,98,dark,dragon,160,5,0
Gigalith,526,"['Sturdy', 'Sand Stream', 'Sand Force']",135,45,Compressed Pokémon,130,1.7,85,60,80,25,rock,,260,5,0
Cofagrigus,563,['Mummy'],50,90,Coffin Pokémon,145,1.7,58,95,105,30,ghost,,76.5,5,0
Emboar,500,"['Blaze', 'Reckless']",123,45,Mega Fire Pig Pokémon,65,1.6,110,100,65,65,fire,fighting,150,5,0
Zebstrika,523,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",100,75,Thunderbolt Pokémon,63,1.6,75,80,63,116,electric,,79.5,5,0
Zoroark,571,['Illusion'],105,45,Illusion Fox Pokémon,60,1.6,60,120,60,105,dark,,81.1,5,0
Druddigon,621,"['Rough Skin', 'Sheer Force', 'Mold Breaker']",120,45,Cave Pokémon,90,1.6,77,60,90,48,dragon,,139,5,0
Bisharp,625,"['Defiant', 'Inner Focus', 'Pressure']",125,45,Sword Blade Pokémon,100,1.6,65,60,70,70,dark,steel,70,5,0
Bouffalant,626,"['Reckless', 'Sap Sipper', 'Soundproof']",110,45,Bash Buffalo Pokémon,95,1.6,95,40,95,55,normal,,94.6,5,0
Volcarona,637,"['Flame Body', 'Swarm']",60,15,Sun Pokémon,65,1.6,85,135,105,100,bug,fire,46,5,0
Samurott,503,"['Torrent', 'Shell Armor']",100,45,Formidable Pokémon,85,1.5,95,108,70,70,water,,94.6,5,0
Seismitoad,537,"['Swift Swim', 'Poison Touch', 'Water Absorb']",95,45,Vibration Pokémon,75,1.5,105,85,75,74,water,ground,62,5,0
Krookodile,553,"['Intimidate', 'Moxie', 'Anger Point']",117,45,Intimidation Pokémon,80,1.5,95,65,70,92,ground,dark,96.3,5,0
Gothitelle,576,"['Frisk', 'Competitive', 'Shadow Tag']",55,50,Astral Body Pokémon,95,1.5,70,95,110,65,psychic,,44,5,0
Braviary,628,"['Keen Eye', 'Sheer Force', 'Defiant']",123,60,Valiant Pokémon,75,1.5,100,57,75,80,normal,flying,41,5,0
Tornadus,641,"['Prankster', 'Defiant', 'Regenerator']",100,3,Cyclone Pokémon,80,1.5,79,110,90,121,flying,,63,5,1
Thundurus,642,"['Prankster', 'Defiant', 'Volt Absorb']",105,3,Bolt Strike Pokémon,70,1.5,79,145,80,101,electric,flying,61,5,1
Landorus,645,"['Sand Force', 'Sheer Force', 'Intimidate']",145,3,Abundance Pokémon,90,1.5,89,105,80,91,ground,flying,68,5,1
Genesect,649,['Download'],120,3,Paleozoic Pokémon,95,1.5,71,120,95,99,bug,steel,82.5,5,1
Conkeldurr,534,"['Guts', 'Sheer Force', 'Iron Fist']",140,45,Muscular Pokémon,95,1.4,105,55,65,45,fighting,,87,5,0
Sawk,539,"['Sturdy', 'Inner Focus', 'Mold Breaker']",125,45,Karate Pokémon,75,1.4,75,30,75,85,fighting,,51,5,0
Crustle,558,"['Sturdy', 'Shell Armor', 'Weak Armor']",105,75,Stone Home Pokémon,125,1.4,70,65,75,45,bug,rock,200,5,0
Sigilyph,561,"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']",58,45,Avianoid Pokémon,80,1.4,72,103,80,97,psychic,flying,14,5,0
Archeops,567,['Defeatist'],140,45,First Bird Pokémon,65,1.4,75,112,65,110,rock,flying,32,5,0
Mienshao,620,"['Inner Focus', 'Regenerator', 'Reckless']",125,45,Martial Arts Pokémon,60,1.4,65,95,60,105,fighting,,35.5,5,0
Heatmor,631,"['Gluttony', 'Flash Fire', 'White Smoke']",97,90,Anteater Pokémon,66,1.4,85,105,66,65,fire,,58,5,0
Zweilous,634,['Hustle'],85,45,Hostile Pokémon,70,1.4,72,65,70,58,dark,dragon,50,5,0
Keldeo,647,['Justified'],72,3,Colt Pokémon,90,1.4,91,129,90,108,water,fighting,48.5,5,1
Throh,538,"['Guts', 'Inner Focus', 'Mold Breaker']",100,45,Judo Pokémon,85,1.3,120,30,85,45,fighting,,55.5,5,0
Darmanitan,555,"['Sheer Force', 'Zen Mode']",30,60,Blazing Pokémon,105,1.3,105,140,105,55,fire,fire,92.9,5,0
Swanna,581,"['Keen Eye', 'Big Pecks', 'Hydration']",87,45,White Bird Pokémon,63,1.3,75,87,63,98,water,flying,24.2,5,0
Vanilluxe,584,"['Ice Body', 'Snow Warning', 'Weak Armor']",95,45,Snowstorm Pokémon,85,1.3,71,110,95,79,ice,,57.5,5,0
Stoutland,508,"['Intimidate', 'Sand Rush', 'Scrappy']",110,45,Big-Hearted Pokémon,90,1.2,85,45,90,80,normal,,61,5,0
Unfezant,521,"['Big Pecks', 'Super Luck', 'Rivalry']",115,45,Proud Pokémon,80,1.2,80,65,55,93,normal,flying,29,5,0
Gurdurr,533,"['Guts', 'Sheer Force', 'Iron Fist']",105,90,Muscular Pokémon,85,1.2,85,40,50,40,fighting,,40,5,0
Leavanny,542,"['Swarm', 'Chlorophyll', 'Overcoat']",103,45,Nurturing Pokémon,80,1.2,75,70,80,92,bug,grass,20.5,5,0
Whirlipede,544,"['Poison Point', 'Swarm', 'Speed Boost']",55,120,Curlipede Pokémon,99,1.2,40,40,79,47,bug,poison,58.5,5,0
Carracosta,565,"['Solid Rock', 'Sturdy', 'Swift Swim']",108,45,Prototurtle Pokémon,133,1.2,74,83,65,32,water,rock,81,5,0
Frillish,592,"['Water Absorb', 'Cursed Body', 'Damp']",40,190,Floating Pokémon,50,1.2,55,65,85,40,water,ghost,33,5,0
Alomomola,594,"['Healer', 'Hydration', 'Regenerator']",75,75,Caring Pokémon,80,1.2,165,40,45,65,water,,31.6,5,0
Eelektrik,603,['Levitate'],85,60,EleFish Pokémon,70,1.2,65,75,70,40,electric,,22,5,0
Mandibuzz,630,"['Big Pecks', 'Overcoat', 'Weak Armor']",65,60,Bone Vulture Pokémon,105,1.2,110,55,95,80,dark,flying,39.5,5,0
Watchog,505,"['Illuminate', 'Keen Eye', 'Analytic']",85,255,Lookout Pokémon,69,1.1,60,60,69,77,normal,,27,5,0
Liepard,510,"['Limber', 'Unburden', 'Prankster']",88,90,Cruel Pokémon,50,1.1,64,88,50,106,dark,,37.5,5,0
Simisage,512,"['Gluttony', 'Overgrow']",98,75,Thorn Monkey Pokémon,63,1.1,75,98,63,101,grass,,30.5,5,0
Musharna,518,"['Forewarn', 'Synchronize', 'Telepathy']",55,75,Drowsing Pokémon,85,1.1,116,107,95,29,psychic,,60.5,5,0
Audino,531,"['Healer', 'Regenerator', 'Klutz']",60,255,Hearing Pokémon,126,1.1,103,80,126,50,normal,,31,5,0
Lilligant,549,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",60,75,Flowering Pokémon,75,1.1,70,110,75,90,grass,,16.3,5,0
Scrafty,560,"['Shed Skin', 'Moxie', 'Intimidate']",90,90,Hoodlum Pokémon,115,1.1,65,45,115,58,dark,fighting,30,5,0
Vanillish,583,"['Ice Body', 'Snow Cloak', 'Weak Armor']",65,120,Icy Snow Pokémon,65,1.1,51,80,75,59,ice,,41,5,0
Cryogonal,615,['Levitate'],50,25,Crystallizing Pokémon,50,1.1,80,95,135,105,ice,,148,5,0
Larvesta,636,"['Flame Body', 'Swarm']",85,45,Torch Pokémon,55,1.1,55,50,55,60,bug,fire,28.8,5,0
Pignite,499,"['Blaze', 'Thick Fat']",93,45,Fire Pig Pokémon,55,1,90,70,55,55,fire,fighting,55.5,5,0
Simisear,514,"['Gluttony', 'Blaze']",98,75,Ember Pokémon,63,1,75,98,63,101,fire,,28,5,0
Simipour,516,"['Gluttony', 'Torrent']",98,75,Geyser Pokémon,63,1,75,98,63,101,water,,29,5,0
Basculin,550,"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",92,25,Hostile Pokémon,65,1,70,80,55,98,water,,18,5,0
Krokorok,552,"['Intimidate', 'Moxie', 'Anger Point']",82,90,Desert Croc Pokémon,45,1,60,45,45,74,ground,dark,33.4,5,0
Maractus,556,"['Water Absorb', 'Chlorophyll', 'Storm Drain']",86,255,Cactus Pokémon,67,1,75,106,67,60,grass,,28,5,0
Reuniclus,579,"['Overcoat', 'Magic Guard', 'Regenerator']",65,50,Multiplying Pokémon,75,1,110,125,85,30,psychic,,20.1,5,0
Escavalier,589,"['Swarm', 'Shell Armor', 'Overcoat']",135,75,Cavalry Pokémon,105,1,70,60,105,20,bug,steel,33,5,0
Ferrothorn,598,"['Iron Barbs', 'Anticipation']",94,90,Thorn Pod Pokémon,131,1,74,54,116,20,grass,steel,110,5,0
Beheeyem,606,"['Telepathy', 'Synchronize', 'Analytic']",75,90,Cerebral Pokémon,75,1,75,125,95,40,psychic,,34.5,5,0
Chandelure,609,"['Flash Fire', 'Flame Body', 'Infiltrator']",55,45,Luring Pokémon,90,1,60,145,90,80,ghost,fire,34.3,5,0
Fraxure,611,"['Rivalry', 'Mold Breaker', 'Unnerve']",117,60,Axe Jaw Pokémon,70,1,66,40,50,67,dragon,,36,5,0
Golett,622,"['Iron Fist', 'Klutz', 'No Guard']",74,190,Automaton Pokémon,50,1,59,35,50,35,ground,ghost,92,5,0
Herdier,507,"['Intimidate', 'Sand Rush', 'Scrappy']",80,120,Loyal Dog Pokémon,65,0.9,65,35,65,60,normal,,14.7,5,0
Boldore,525,"['Sturdy', 'Weak Armor', 'Sand Force']",105,120,Ore Pokémon,105,0.9,70,50,40,20,rock,,102,5,0
Swoobat,528,"['Unaware', 'Klutz', 'Simple']",57,45,Courting Pokémon,55,0.9,67,77,55,114,psychic,flying,10.5,5,0
Mienfoo,619,"['Inner Focus', 'Regenerator', 'Reckless']",85,180,Martial Arts Pokémon,50,0.9,45,55,50,65,fighting,,20,5,0
Servine,496,"['Overgrow', 'Contrary']",60,45,Grass Snake Pokémon,75,0.8,60,60,75,83,grass,,16,5,0
Dewott,502,"['Torrent', 'Shell Armor']",75,45,Discipline Pokémon,60,0.8,75,83,60,60,water,,24.5,5,0
Blitzle,522,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",60,190,Electrified Pokémon,32,0.8,45,50,32,76,electric,,29.8,5,0
Palpitoad,536,"['Swift Swim', 'Hydration', 'Water Absorb']",65,120,Vibration Pokémon,55,0.8,75,65,55,69,water,ground,17,5,0
Galvantula,596,"['Compoundeyes', 'Unnerve', 'Swarm']",77,75,EleSpider Pokémon,60,0.8,70,97,60,108,bug,electric,14.3,5,0
Accelgor,617,"['Hydration', 'Sticky Hold', 'Unburden']",70,75,Shell Out Pokémon,40,0.8,80,100,60,145,bug,,25.3,5,0
Deino,633,['Hustle'],65,45,Irate Pokémon,50,0.8,52,45,50,38,dark,dragon,17.3,5,0
Excadrill,530,"['Sand Rush', 'Sand Force', 'Mold Breaker']",135,60,Subterrene Pokémon,60,0.7,110,50,65,88,ground,steel,40.4,5,0
Whimsicott,547,"['Prankster', 'Infiltrator', 'Chlorophyll']",67,75,Windveiled Pokémon,85,0.7,60,77,75,116,grass,fairy,6.6,5,0
Sandile,551,"['Intimidate', 'Moxie', 'Anger Point']",72,180,Desert Croc Pokémon,35,0.7,50,35,35,65,ground,dark,15.2,5,0
Tirtouga,564,"['Solid Rock', 'Sturdy', 'Swift Swim']",78,45,Prototurtle Pokémon,103,0.7,54,53,45,22,water,rock,16.5,5,0
Zorua,570,['Illusion'],65,75,Tricky Fox Pokémon,40,0.7,40,80,40,65,dark,,12.5,5,0
Gothorita,575,"['Frisk', 'Competitive', 'Shadow Tag']",45,100,Manipulate Pokémon,70,0.7,60,75,85,55,psychic,,18,5,0
Stunfisk,618,"['Static', 'Limber', 'Sand Veil']",66,75,Trap Pokémon,84,0.7,109,81,99,32,ground,electric,11,5,0
Snivy,495,"['Overgrow', 'Contrary']",45,45,Grass Snake Pokémon,55,0.6,45,45,55,63,grass,,8.1,5,0
Pansage,511,"['Gluttony', 'Overgrow']",53,190,Grass Monkey Pokémon,48,0.6,50,53,48,64,grass,,10.5,5,0
Pansear,513,"['Gluttony', 'Blaze']",53,190,High Temp Pokémon,48,0.6,50,53,48,64,fire,,11,5,0
Panpour,515,"['Gluttony', 'Torrent']",53,190,Spray Pokémon,48,0.6,50,53,48,64,water,,13.5,5,0
Munna,517,"['Forewarn', 'Synchronize', 'Telepathy']",25,190,Dream Eater Pokémon,45,0.6,76,67,55,24,psychic,,23.3,5,0
Tranquill,520,"['Big Pecks', 'Super Luck', 'Rivalry']",77,120,Wild Pigeon Pokémon,62,0.6,62,50,42,65,normal,flying,15,5,0
